Date,WTFESY
30/11/2017,258
7/12/2017,268
14/12/2017,263
21/12/2017,253
28/12/2017,251.6666667
4/01/2018,250.3333333
11/01/2018,249
18/01/2018,251
25/01/2018,253
1/02/2018,253
8/02/2018,258
15/02/2018,270
22/02/2018,270
1/03/2018,275
8/03/2018,278
15/03/2018,278
22/03/2018,278
29/03/2018,278
5/04/2018,278
12/04/2018,280
19/04/2018,300
26/04/2018,300
3/05/2018,310
10/05/2018,315
17/05/2018,315
24/05/2018,376
31/05/2018,375
7/06/2018,375
14/06/2018,375
21/06/2018,375
28/06/2018,375
5/07/2018,375
12/07/2018,365
19/07/2018,375
26/07/2018,375
2/08/2018,377.5
9/08/2018,380
16/08/2018,420
23/08/2018,430
30/08/2018,430
6/09/2018,430
13/09/2018,430
20/09/2018,430
27/09/2018,430
4/10/2018,435
11/10/2018,455
18/10/2018,455
25/10/2018,455
1/11/2018,455
8/11/2018,455
15/11/2018,440
22/11/2018,440
29/11/2018,440
6/12/2018,440
13/12/2018,440
20/12/2018,440
27/12/2018,441.6666667
3/01/2019,443.3333333
10/01/2019,445
17/01/2019,440
24/01/2019,440
31/01/2019,438.3333333
7/02/2019,436.6666667
14/02/2019,435
21/02/2019,435
28/02/2019,420
7/03/2019,400
14/03/2019,435
21/03/2019,405
28/03/2019,405
4/04/2019,402
11/04/2019,402
18/04/2019,392
25/04/2019,392
2/05/2019,392
9/05/2019,375
16/05/2019,365
23/05/2019,365
30/05/2019,380
6/06/2019,400
13/06/2019,380
20/06/2019,380
27/06/2019,380
4/07/2019,380
11/07/2019,380
18/07/2019,370
25/07/2019,350
1/08/2019,350
8/08/2019,350
15/08/2019,365
22/08/2019,365
29/08/2019,365
5/09/2019,365
12/09/2019,365
19/09/2019,375
26/09/2019,375
3/10/2019,375
10/10/2019,390
17/10/2019,385
24/10/2019,382.5
31/10/2019,380
7/11/2019,370
14/11/2019,375
22/11/2019,380
29/11/2019,380
6/12/2019,380
13/12/2019,390
20/12/2019,420
27/12/2019,423.3333333
3/01/2020,426.6666667
10/01/2020,430
17/01/2020,430
24/01/2020,430
31/01/2020,430
